;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-21591,78;-9836,34;-1712,98;-3196,08;-2992,68;-2615,23;-2412,78;-1904,40
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-116939,31;-144960,69;-105000,00;-105000,00;-105000,00;-105000,00;-105000,00;-105000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-4000,00;-4050,00;-4000,00;-4000,00;-4000,00;-4000,00;-4000,00;-4000,00
7 + Sonstige ordentliche Erträge;-6299,53;-6463,61;-6030,00;-30,00;-30,00;-30,00;-30,00;-30,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-148830,62;-165310,64;-116742,98;-112226,08;-112022,68;-111645,23;-111442,78;-110934,40
11 - Personalaufwendungen;594460,75;595503,49;561371,06;558353,70;553049,85;556620,76;564464,58;572401,29
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;464474,41;483099,80;457567,96;509941,36;514023,40;518105,44;522344,44;526740,40
14 - Bilanzielle Abschreibungen;11919,11;11097,78;6830,28;8173,44;7525,80;7061,81;5554,68;4696,20
15 - Transferaufwendungen;666625,71;701854,02;690097,00;720950,00;715950,00;715950,00;715950,00;715950,00
16 - Sonstige ordentliche Aufwendungen;441051,97;437713,43;419734,94;486602,96;486603,00;486603,00;486603,00;486603,00
17 = Ordentliche Aufwendungen;2178531,95;2229268,52;2135601,24;2284021,46;2277152,05;2284341,01;2294916,70;2306390,89
18 = Ordentliches Ergebnis (= 10 + 17);2029701,33;2063957,88;2018858,26;2171795,38;2165129,37;2172695,78;2183473,92;2195456,49
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);2029701,33;2063957,88;2018858,26;2171795,38;2165129,37;2172695,78;2183473,92;2195456,49
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);2029701,33;2063957,88;2018858,26;2171795,38;2165129,37;2172695,78;2183473,92;2195456,49
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;106117,34;95791,15;92220,51;84158,95;83382,40;83293,09;83598,32;84339,68
29 = Teilergebnis  (= 26, 27, 28);2135818,67;2159749,03;2111078,77;2255954,33;2248511,77;2255988,87;2267072,24;2279796,17
