;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-50973,40;-49191,68;-49233,45;-49149,88;-49149,89;-49147,39;-49120,73;-49120,72
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-117636,38;-131472,71;-100000,00;-125000,00;-125000,00;-125000,00;-125000,00;-125000,00
5 + Privatrechtliche Leistungsentgelte;-376,52;-508,33;-1000,00;-500,00;-500,00;-500,00;-500,00;-500,00
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-26,65;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-169012,95;-181172,72;-150233,45;-174649,88;-174649,89;-174647,39;-174620,73;-174620,72
11 - Personalaufwendungen;570856,34;494746,83;437124,26;361518,08;362774,78;366123,19;371221,58;376381,17
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;43424,46;40744,23;43924,92;39540,44;39878,48;40816,52;41196,20;41576,00
14 - Bilanzielle Abschreibungen;1397,65;260,96;202,77;149,88;149,89;147,36;120,73;120,72
15 - Transferaufwendungen;177450,00;180100,00;177450,00;181350,00;181350,00;181350,00;181350,00;181350,00
16 - Sonstige ordentliche Aufwendungen;45929,17;43851,88;51549,45;43501,43;43465,17;44737,29;44737,29;44737,29
17 = Ordentliche Aufwendungen;839057,62;759703,90;710251,40;626059,83;627618,32;633174,36;638625,80;644165,18
18 = Ordentliches Ergebnis (= 10 + 17);670044,67;578531,18;560017,95;451409,95;452968,43;458526,97;464005,07;469544,46
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);670044,67;578531,18;560017,95;451409,95;452968,43;458526,97;464005,07;469544,46
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);670044,67;578531,18;560017,95;451409,95;452968,43;458526,97;464005,07;469544,46
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;89908,98;74847,74;70420,14;58445,10;58181,87;59123,11;59277,79;59596,30
29 = Teilergebnis  (= 26, 27, 28);759953,65;653378,92;630438,09;509855,05;511150,30;517650,08;523282,86;529140,76
