;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-4061,80;-67,31;-38,19;-67,35;-67,35;-64,86;-38,19;-38,19
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-21717,35;-19759,46;-20000,00;-20000,00;-20000,00;-20000,00;-20000,00;-20000,00
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-25779,15;-19826,77;-20038,19;-20067,35;-20067,35;-20064,86;-20038,19;-20038,19
11 - Personalaufwendungen;805064,51;760536,04;721385,17;721190,08;744009,65;751031,20;761720,01;772536,12
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;40357,12;43254,40;47998,80;37658,56;38402,20;37887,88;38473,96;39060,04
14 - Bilanzielle Abschreibungen;3879,71;207,77;178,59;207,78;207,75;205,26;178,59;178,62
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;76967,48;68454,25;88580,72;70791,48;71151,29;68758,76;68758,76;68758,76
17 = Ordentliche Aufwendungen;926268,82;872452,46;858143,28;829847,90;853770,89;857883,10;869131,32;880533,54
18 = Ordentliches Ergebnis (= 10 + 17);900489,67;852625,69;838105,09;809780,55;833703,54;837818,24;849093,13;860495,35
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);900489,67;852625,69;838105,09;809780,55;833703,54;837818,24;849093,13;860495,35
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);900489,67;852625,69;838105,09;809780,55;833703,54;837818,24;849093,13;860495,35
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;126972,83;100277,03;115818,11;87343,52;88087,94;86094,55;86422,87;87069,78
29 = Teilergebnis  (= 26, 27, 28);1027462,50;952902,72;953923,20;897124,07;921791,48;923912,79;935516,00;947565,13
