;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-744,78;-364,67;-10,08;-41,88;-41,88;-39,39;-12,72;-12,72
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-17930,87;-28140,73;-45100,00;-31000,00;-31000,00;-31000,00;-31000,00;-31000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-1800,00;0,00;;;;;;
7 + Sonstige ordentliche Erträge;-1408,25;-684,00;-300,00;-200,00;-200,00;-200,00;-200,00;-200,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-21883,90;-29189,40;-45410,08;-31241,88;-31241,88;-31239,39;-31212,72;-31212,72
11 - Personalaufwendungen;569699,73;596515,78;575224,84;597106,08;568320,04;573648,85;581761,37;589970,78
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;39478,81;35178,91;68380,24;61329,76;61802,88;62944,96;63407,20;63869,44
14 - Bilanzielle Abschreibungen;660,75;524,07;10,08;41,88;41,88;39,36;12,72;12,72
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;52361,85;54113,78;49356,94;55481,55;55577,24;57125,97;57125,97;57125,97
17 = Ordentliche Aufwendungen;662201,14;686332,54;692972,10;713959,27;685742,04;693759,14;702307,26;710978,91
18 = Ordentliches Ergebnis (= 10 + 17);640317,24;657143,14;647562,02;682717,39;654500,16;662519,75;671094,54;679766,19
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);640317,24;657143,14;647562,02;682717,39;654500,16;662519,75;671094,54;679766,19
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);640317,24;657143,14;647562,02;682717,39;654500,16;662519,75;671094,54;679766,19
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;89009,81;80697,18;81800,22;74068,02;72412,80;73557,80;73800,03;74298,87
29 = Teilergebnis  (= 26, 27, 28);729327,05;737840,32;729362,24;756785,41;726912,96;736077,55;744894,57;754065,06
