;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-13916,42;-11642,60;-7158,83;-11654,00;-11645,33;-11544,41;-11335,72;-10779,98
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-1995835,78;-2024827,04;-2112160,00;-2050700,00;-2050700,00;-2050700,00;-2050700,00;-2050700,00
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-3063,80;-157,62;-307,92;-307,92;-235,81;-184,48;-184,40;-184,48
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-2012816,00;-2036627,26;-2119626,75;-2062661,92;-2062581,14;-2062428,89;-2062220,12;-2061664,46
11 - Personalaufwendungen;3737340,18;3749135,02;4449880,60;4425732,45;4433356,64;4475346,83;4539264,36;4603940,66
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;3075551,43;3062294,13;3008855,68;2749486,64;2801174,04;2854061,32;2907784,36;2962771,64
14 - Bilanzielle Abschreibungen;40806,18;34196,74;28822,97;28959,16;27272,00;25788,64;23995,69;19323,77
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;4788971,59;4736239,74;5131084,02;5490117,00;5491966,84;5494116,92;5496316,92;5498516,92
17 = Ordentliche Aufwendungen;11642669,38;11581865,63;12618643,27;12694295,25;12753769,52;12849313,71;12967361,33;13084552,99
18 = Ordentliches Ergebnis (= 10 + 17);9629853,38;9545238,37;10499016,52;10631633,33;10691188,38;10786884,82;10905141,21;11022888,53
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);9629853,38;9545238,37;10499016,52;10631633,33;10691188,38;10786884,82;10905141,21;11022888,53
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);9629853,38;9545238,37;10499016,52;10631633,33;10691188,38;10786884,82;10905141,21;11022888,53
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;491293,72;500955,22;485208,66;440948,58;438729,03;440017,42;443633,96;450234,87
29 = Teilergebnis  (= 26, 27, 28);10121147,10;10046193,59;10984225,18;11072581,91;11129917,41;11226902,24;11348775,17;11473123,40
