;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-24300,90;-589,20;-26,76;-1194,24;-1173,88;-1076,04;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-24300,90;-589,20;-26,76;-1194,24;-1173,88;-1076,04;;
11 - Personalaufwendungen;401288,63;391174,63;319571,12;327658,15;304929,03;307781,58;312124,26;316519,01
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;10593,17;12771,75;12334,92;14367,52;14585,48;14776,20;15048,48;15320,84
14 - Bilanzielle Abschreibungen;334,97;1049,93;26,76;1016,76;996,36;913,32;;
15 - Transferaufwendungen;23470,20;;;;;;;
16 - Sonstige ordentliche Aufwendungen;14749,77;31630,99;23733,68;23916,80;23916,72;23916,84;23916,84;23916,84
17 = Ordentliche Aufwendungen;450436,74;436627,30;355666,48;366959,23;344427,59;347387,94;351089,58;355756,69
18 = Ordentliches Ergebnis (= 10 + 17);426135,84;436038,10;355639,72;365764,99;343253,71;346311,90;351089,58;355756,69
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);426135,84;436038,10;355639,72;365764,99;343253,71;346311,90;351089,58;355756,69
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);426135,84;436038,10;355639,72;365764,99;343253,71;346311,90;351089,58;355756,69
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;56248,98;78418,15;69982,95;97221,56;96001,66;96008,37;96142,52;96407,35
29 = Teilergebnis  (= 26, 27, 28);482384,82;514456,25;425622,67;462986,55;439255,37;442320,27;447232,10;452164,04
