;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-300,87;-589,14;-26,76;-1194,24;-1173,84;-1076,04;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-517,95;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-818,82;-589,14;-26,76;-1194,24;-1173,84;-1076,04;;
11 - Personalaufwendungen;401288,23;391174,19;319570,53;327657,57;304928,81;307781,13;312123,78;316518,38
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;10593,05;12771,60;12334,56;14367,32;14585,20;14775,80;15048,16;15320,48
14 - Bilanzielle Abschreibungen;334,92;1049,87;26,76;1016,64;996,24;913,21;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;14749,64;31630,75;23733,04;23916,24;23916,36;23916,24;23916,24;23916,24
17 = Ordentliche Aufwendungen;426965,84;436626,41;355664,89;366957,77;344426,61;347386,38;351088,18;355755,10
18 = Ordentliches Ergebnis (= 10 + 17);426147,02;436037,27;355638,13;365763,53;343252,77;346310,34;351088,18;355755,10
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);426147,02;436037,27;355638,13;365763,53;343252,77;346310,34;351088,18;355755,10
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);426147,02;436037,27;355638,13;365763,53;343252,77;346310,34;351088,18;355755,10
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;56548,95;78357,83;69982,44;97160,59;95940,45;95947,16;96081,31;96346,14
29 = Teilergebnis  (= 26, 27, 28);482695,97;514395,10;425620,57;462924,12;439193,22;442257,50;447169,49;452101,24
