;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-2070284,25;-2065004,52;-280108,48;-60349,92;-178,08;-112,44;-39,84;-31,08
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-2070284,25;-2065004,52;-280108,48;-60349,92;-178,08;-112,44;-39,84;-31,08
11 - Personalaufwendungen;87960,41;87555,40;74604,92;79285,84;78430,19;78329,10;79188,16;80058,18
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;1447025,64;318627,78;23383,60;4896,48;4896,48;4896,48;4896,48;4896,48
14 - Bilanzielle Abschreibungen;4423,53;4331,56;4025,40;4746,12;4574,28;4505,28;4396,20;4387,44
15 - Transferaufwendungen;683343,04;409625,46;329835,00;92300,00;;;;
16 - Sonstige ordentliche Aufwendungen;16720,59;17362,02;17710,20;7548,08;7548,08;7548,08;7548,08;7548,08
17 = Ordentliche Aufwendungen;2239473,21;837502,22;449559,12;188776,52;95449,03;95278,94;96028,92;96890,18
18 = Ordentliches Ergebnis (= 10 + 17);169188,96;-1227502,30;169450,64;128426,60;95270,95;95166,50;95989,08;96859,10
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);169188,96;-1227502,30;169450,64;128426,60;95270,95;95166,50;95989,08;96859,10
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);169188,96;-1227502,30;169450,64;128426,60;95270,95;95166,50;95989,08;96859,10
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;44616,90;39454,46;42009,12;45381,70;45381,70;45381,70;45381,70;45381,70
29 = Teilergebnis  (= 26, 27, 28);213805,86;-1188047,84;211459,76;173808,30;140652,65;140548,20;141370,78;142240,80
