;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-98000,00;-489600,00;-3267200,00;-2730400,00;-950400,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-98000,00;-489600,00;-3267200,00;-2730400,00;-950400,00
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;;424000,00;1296000,00;670000,00;
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;;;;120000,00;183000,00;2263000,00;2183000,00;983000,00
16 - Sonstige ordentliche Aufwendungen;;;;;;;;
17 = Ordentliche Aufwendungen;;;;120000,00;607000,00;3559000,00;2853000,00;983000,00
18 = Ordentliches Ergebnis (= 10 + 17);;;;22000,00;117400,00;291800,00;122600,00;32600,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;22000,00;117400,00;291800,00;122600,00;32600,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;22000,00;117400,00;291800,00;122600,00;32600,00
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);;;;22000,00;117400,00;291800,00;122600,00;32600,00
