;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1165,81;-1266,23;-230,05;-298,92;-298,92;-298,92;-298,92;-298,92
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-2340948,24;-2145708,53;-1865000,00;-1865000,00;-1865000,00;-1865000,00;-1865000,00;-1865000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-20595,38;-14635,70;-35800,00;-35800,00;-35800,00;-35800,00;-35800,00;-35800,00
7 + Sonstige ordentliche Erträge;-113631,30;-39000,00;-42500,00;-23000,00;-23000,00;-23000,00;-23000,00;-23000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-2476340,73;-2200610,46;-1943530,05;-1924098,92;-1924098,92;-1924098,92;-1924098,92;-1924098,92
11 - Personalaufwendungen;2540894,32;2366258,75;2432090,93;2288104,52;2295977,34;2307346,30;2334465,47;2361924,03
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;118513,32;114068,19;86788,96;97170,88;99012,88;100917,20;102946,40;104882,08
14 - Bilanzielle Abschreibungen;517,24;1334,91;230,05;311,88;311,88;311,88;311,88;311,88
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;273103,32;284789,35;198369,90;210867,02;210866,98;210866,98;210866,98;210866,98
17 = Ordentliche Aufwendungen;2933028,20;2766451,20;2717479,84;2596454,30;2606169,08;2619442,36;2648590,73;2677984,97
18 = Ordentliches Ergebnis (= 10 + 17);456687,47;565840,74;773949,79;672355,38;682070,16;695343,44;724491,81;753886,05
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);456687,47;565840,74;773949,79;672355,38;682070,16;695343,44;724491,81;753886,05
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);456687,47;565840,74;773949,79;672355,38;682070,16;695343,44;724491,81;753886,05
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;526999,91;526006,94;475449,86;473941,71;472753,42;472384,45;473156,90;474896,20
29 = Teilergebnis  (= 26, 27, 28);983687,38;1091847,68;1249399,65;1146297,09;1154823,58;1167727,89;1197648,71;1228782,25
