;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-1165589,41;-1584928,27;-1418820,00;-1653300,00;-1703300,00;-1753300,00;-1803300,00;-1853300,00
7 + Sonstige ordentliche Erträge;-6655631,25;-12613641,91;-1600000,00;-1600000,00;-1600000,00;-1600000,00;-1600000,00;-1600000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-7821220,66;-14198570,18;-3018820,00;-3253300,00;-3303300,00;-3353300,00;-3403300,00;-3453300,00
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;;;;;
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;5582791,09;7987232,31;988820,00;1073300,00;1073300,00;1073300,00;1073300,00;1073300,00
17 = Ordentliche Aufwendungen;5582791,09;7987232,31;988820,00;1073300,00;1073300,00;1073300,00;1073300,00;1073300,00
18 = Ordentliches Ergebnis (= 10 + 17);-2238429,57;-6211337,87;-2030000,00;-2180000,00;-2230000,00;-2280000,00;-2330000,00;-2380000,00
19 + Finanzerträge;-109868,50;-769119,80;-95900,00;-79700,00;-72900,00;-65900,00;-58700,00;-51500,00
20 - Zinsen und sonstige Finanzaufwendungen;27155232,95;24049860,49;34500000,00;26000000,00;28000000,00;28000000,00;28000000,00;28000000,00
21 = Finanzergebnis (= 19 + 20);27045364,45;23280740,69;34404100,00;25920300,00;27927100,00;27934100,00;27941300,00;27948500,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);24806934,88;17069402,82;32374100,00;23740300,00;25697100,00;25654100,00;25611300,00;25568500,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);24806934,88;17069402,82;32374100,00;23740300,00;25697100,00;25654100,00;25611300,00;25568500,00
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);24806934,88;17069402,82;32374100,00;23740300,00;25697100,00;25654100,00;25611300,00;25568500,00
